Movie Genre,Associated Music Genres
nan,
"Action, Adventure, Fantasy","acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,epic-fantasy,soundtrack,drum-and-bass,new-age,rock,metal,world-music,electronic"
"Animation, Adventure, Drama","acoustic,indie,folk,ambient,piano,singer-songwriter,indie-pop,new-age,alternative,world-music,rock"
"Animation, Adventure, Comedy","acoustic,folk,ambient,new-age,alternative,world-music,rock"
"Animation, Action, Adventure","acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,drum-and-bass,new-age,rock,metal,world-music,electronic"
"Action, Drama, History","piano,epic,indie-pop,opera,rock,dubstep,singer-songwriter,acoustic,ambient,hard-rock,metal,world-music,electronic,classical,punk,drum-and-bass,alternative,symphony,indie"
Adventure,"acoustic,folk,ambient,new-age,alternative,world-music,rock"
Family,"folk,children,pop,singer-songwriter,kids,upbeat,fun"
"Drama, History, Romance","acoustic,piano,ambient,folk,classical,epic,romantic,singer-songwriter,pop,rock,indie-pop,world-music,opera,alternative,symphony,r-n-b,indie,soul"
History,"piano,ambient,epic,opera,world-music,classical,symphony"
"Drama, Romance","acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
"Adventure, Comedy, Family","acoustic,folk,ambient,upbeat,children,pop,singer-songwriter,kids,new-age,alternative,world-music,rock,fun"
"Adventure, Comedy, Fantasy","acoustic,folk,ambient,epic-fantasy,soundtrack,new-age,alternative,world-music,rock"
"Drama, Musical, Romance","acoustic,piano,folk,pop,romantic,singer-songwriter,rock,indie-pop,alternative,dance,r-n-b,indie,musical-theatre,soul"
"Adventure, Comedy, Sci-Fi","acoustic,folk,ambient,chill,synth-pop,retro,synthwave,space,new-age,alternative,world-music,electronic,rock"
Horror,"darkwave,ambient,dark-ambient,noise,metal,electronic,industrial"
"Animation, Adventure, Fantasy","acoustic,folk,ambient,epic-fantasy,soundtrack,new-age,alternative,world-music,rock"
"Action, Adventure, Sci-Fi","acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,chill,synth-pop,retro,synthwave,drum-and-bass,space,new-age,rock,metal,world-music,electronic"
"Crime, Drama","acoustic,piano,reggae,dubstep,singer-songwriter,trap,rock,indie-pop,drum-and-bass,grime,hip-hop,alternative,electronic,indie"
"Comedy, Drama, Romance","acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
"Crime, Drama, Mystery","piano,downtempo,indie-pop,dubstep,singer-songwriter,synthwave,grime,dark-ambient,trip-hop,acoustic,reggae,ambient,trap,chill,electronic,alternative,drum-and-bass,hip-hop,rock,indie"
"Comedy, Crime","reggae,dubstep,trap,drum-and-bass,grime,hip-hop,electronic"
"Action, Adventure, Comedy","acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,drum-and-bass,new-age,rock,metal,world-music,electronic"
"Adventure, Family, Fantasy","acoustic,folk,ambient,upbeat,children,pop,epic-fantasy,singer-songwriter,soundtrack,kids,new-age,alternative,world-music,rock,fun"
"Animation, Family, Fantasy","folk,ambient,children,pop,epic-fantasy,singer-songwriter,soundtrack,kids,world-music,alternative,upbeat,rock,fun"
"Drama, Family, Fantasy","acoustic,piano,folk,ambient,children,pop,epic-fantasy,singer-songwriter,soundtrack,rock,indie-pop,kids,world-music,alternative,upbeat,indie,fun"
"Drama, Fantasy, Romance","acoustic,piano,folk,ambient,romantic,epic-fantasy,singer-songwriter,soundtrack,pop,rock,indie-pop,alternative,world-music,r-n-b,indie,soul"
"Fantasy, Horror, Mystery","darkwave,folk,ambient,chill,metal,trip-hop,soundtrack,epic-fantasy,synthwave,downtempo,noise,alternative,dark-ambient,world-music,electronic,rock,industrial"
"Family, Fantasy, Musical","indie,folk,ambient,children,pop,epic-fantasy,singer-songwriter,soundtrack,kids,world-music,musical-theatre,alternative,dance,upbeat,r-n-b,rock,fun,soul"
"Family, Fantasy, Horror","pop,epic-fantasy,soundtrack,upbeat,rock,darkwave,folk,singer-songwriter,kids,noise,dark-ambient,ambient,metal,world-music,electronic,fun,children,alternative,industrial"
"Crime, Drama, Thriller","acoustic,piano,reggae,ambient,dubstep,singer-songwriter,synthwave,trap,rock,indie-pop,drum-and-bass,grime,hip-hop,alternative,dark-ambient,chill,electronic,indie"
"Adventure, Drama, Family","acoustic,indie,folk,ambient,piano,upbeat,children,pop,singer-songwriter,indie-pop,kids,new-age,alternative,world-music,rock,fun"
"Adventure, Family, Romance","acoustic,indie,folk,ambient,upbeat,children,pop,romantic,singer-songwriter,kids,new-age,alternative,world-music,r-n-b,rock,fun,soul"
Animation,
"Comedy, Romance","folk,romantic,pop,singer-songwriter,r-n-b,indie,soul"
"Animation, Action, Comedy","punk,dubstep,hard-rock,drum-and-bass,rock,metal,electronic"
"Animation, Drama, Family","acoustic,piano,folk,children,pop,singer-songwriter,rock,indie-pop,kids,alternative,upbeat,indie,fun"
"Biography, Drama, Music","acoustic,country,folk,piano,jazz,funk,blues,pop,singer-songwriter,rock,indie-pop,hip-hop,alternative,r-n-b,indie,soul"
"Action, Drama, War","acoustic,piano,punk,patriotic,dubstep,hard-rock,alternative,soundtrack,singer-songwriter,indie-pop,drum-and-bass,rock,metal,world-music,electronic,indie"
"Drama, Music, Mystery","jazz,piano,funk,pop,downtempo,indie-pop,singer-songwriter,synthwave,dark-ambient,trip-hop,acoustic,ambient,chill,electronic,alternative,blues,hip-hop,rock,r-n-b,indie,soul"
"Comedy, Horror, Musical","darkwave,dance,ambient,r-n-b,pop,singer-songwriter,dark-ambient,noise,musical-theatre,metal,electronic,indie,industrial,soul"
"Action, Crime, Drama","acoustic,piano,punk,reggae,dubstep,hard-rock,alternative,singer-songwriter,trap,indie-pop,drum-and-bass,grime,hip-hop,rock,metal,electronic,indie"
"Comedy, Family, Fantasy","folk,ambient,children,pop,epic-fantasy,singer-songwriter,soundtrack,kids,world-music,alternative,upbeat,rock,fun"
"Fantasy, Drama","acoustic,indie,folk,ambient,piano,soundtrack,epic-fantasy,singer-songwriter,indie-pop,alternative,world-music,rock"
Fantasy,"folk,ambient,soundtrack,epic-fantasy,alternative,world-music,rock"
"Drama, Horror","acoustic,darkwave,piano,ambient,metal,singer-songwriter,rock,indie-pop,noise,alternative,dark-ambient,electronic,indie,industrial"
"Horror, Thriller","darkwave,ambient,dubstep,synthwave,drum-and-bass,dark-ambient,noise,metal,chill,electronic,industrial"
"Adventure, Drama, War","acoustic,indie,folk,ambient,piano,patriotic,punk,soundtrack,singer-songwriter,indie-pop,new-age,alternative,metal,world-music,rock"
"Adventure, Drama, Fantasy","acoustic,indie,folk,ambient,piano,epic-fantasy,singer-songwriter,soundtrack,indie-pop,new-age,alternative,world-music,rock"
"Crime, Drama, Romance","piano,pop,indie-pop,folk,dubstep,singer-songwriter,grime,acoustic,reggae,trap,electronic,alternative,romantic,drum-and-bass,hip-hop,rock,r-n-b,indie,soul"
