track_name,track_id,artist_name,artist_id,lyrics
All Too Well (10 Minute Version) (Taylor’s Version) [From The Vault],7076626,Taylor Swift,1177,"[Verse 1]
I walked through the door with you, the air was cold
But somethin' 'bout it felt like home somehow
And I left my scarf there at your sister's house
And you've still got it in your drawer, even now
[Verse 2]
Oh, your sweet disposition and my wide-eyed gaze
We're singin' in the car, getting lost upstate
Autumn leaves fallin' down like pieces into place
And I can picture it after all these days
[Pre-Chorus]
And I know it's long gone and
That magic's not here no more
And I might be okay, but I'm not fine at all
Oh, oh, oh
[Chorus]
'Causе there we arе again on that little town street
You almost ran the red 'cause you were lookin' over at me
Wind in my hair, I was there
I remember it all too well
[Verse 3]
Photo album on the counter, your cheeks were turnin' red
You used to be a little kid with glasses in a twin-sized bed
And your mother's tellin' stories 'bout you on the tee-ball team
You taught me 'bout your past, thinkin' your future was me
And you were tossing me the car keys, ""Fuck the patriarchy""
Keychain on the ground, we were always skippin' town
And I was thinkin' on the drive down, ""Any time now
He's gonna say it's love,"" you never called it what it was
'Til we were dead and gone and buried
Check the pulse and come back swearin' it's the same
After three months in the grave
And then you wondered where it went to as I reached for you
But all I felt was shame and you held my lifeless frame
[Pre-Chorus]
And I know it's long gone and
There was nothing else I could do
And I forget about you long enough
To forget why I needed to
[Chorus]
'Cause there we are again in the middle of the night
We're dancin' 'round the kitchen in the refrigerator light
Down the stairs, I was there
I remember it all too well
And there we are again when nobody had to know
You kept me like a secret, but I kept you like an oath
Sacred prayer and we'd swear
To remember it all too well, yeah
[Bridge]
Well, maybe we got lost in translation, maybe I asked for too much
But maybe this thing was a masterpiece 'til you tore it all up
Runnin' scared, I was there
I remember it all too well
And you call me up again just to break me like a promise
So casually cruel in the name of bein' honest
I'm a crumpled-up piece of paper lyin' here
'Cause I remember it all, all, all
[Verse 4]
They say all's well that ends well, but I'm in a new hell
Every time you double-cross my mind
You said if we had been closer in age, maybe it would've been fine
And that made me want to die
The idea you had of me, who was she?
A never-needy, ever-lovely jewel whose shine reflects on you
Not weepin' in a party bathroom
Some actress askin' me what happened, you
That's what happened, you
You who charmed my dad with self-effacing jokes
Sippin' coffee like you're on a late-night show
But then he watched me watch the front door all night, willin' you to come
And he said, ""It's supposed to be fun turning twenty-one""
[Verse 5]
Time won't fly, it's like I'm paralyzed by it
I'd like to be my old self again, but I'm still tryin' to find it
After plaid shirt days and nights when you made me your own
Now you mail back my things and I walk home alone
But you keep my old scarf from that very first week
'Cause it reminds you of innocence and it smells like me
You can't get rid of it
'Cause you remember it all too well, yeah
[Chorus]
'Cause there we are again when I loved you so
Back before you lost the one real thing you've ever known
It was rare, I was there
I remember it all too well
Wind in my hair, you were there
You remember it all
Down the stairs, you were there
You remember it all
It was rare, I was there
I remember it all too well
[Verse 6]
And I was never good at tellin' jokes, but the punch line goes
""I'll get older, but your lovers stay my age""
From when your Brooklyn broke my skin and bones
I'm a soldier who's returning half her weight
And did the twin flame bruise paint you blue?
Just between us, did the love affair maim you too?
'Cause in this city's barren cold
I still remember the first fall of snow
And how it glistened as it fell
I remember it all too well
[Outro]
Just between us, did the love affair maim you all too well?
Just between us, do you remember it all too well?
Just between us, I remember it (Just between us) all too well
Wind in my hair, I was there, I was there (I was there)
Down the stairs, I was there, I was there
Sacred prayer, I was there, I was there
It was rare, you remember it all too well
Wind in my hair, I was there, I was there (Oh)
Down the stairs, I was there, I was there (I was there)
Sacred prayer, I was there, I was there
It was rare, you remember it (All too well)
Wind in my hair, I was there, I was there
Down the stairs, I was there, I was there
Sacred prayer, I was there, I was there
It was rare, you remember it
Wind in my hair, I was there, I was there
Down the stairs, I was there, I was there
Sacred prayer, I was there, I was there
It was rare, you remember it"
All Too Well (10 Minute Version) (Taylor’s Version) [Live Acoustic],7394358,Taylor Swift,1177,"[Verse 1]
I walked through the door with you, the air was cold
But something 'bout it felt like home somehow
And I left my scarf there at your sister's house
And you've still got it in your drawer, even now
[Verse 2]
Oh, your sweet disposition and my wide-eyed gaze
We're singing in the car, getting lost upstate
Autumn leaves falling down like pieces into place
And I can picture it after all these days
[Pre-Chorus]
And I know it's long gone and
That magic's not here no more
And I might be okay, but I'm not fine at all
Oh, oh, oh
[Chorus]
'Cause there we are again on that little town street
You almost ran the red 'cause you were lookin' over at me
Wind in my hair, I was there
I remember it all too well
[Verse 3]
Photo album on the counter, your cheeks were turning red
You used to be a little kid with glasses in a twin-sized bed
And your mother's telling stories 'bout you on the tee-ball team
You told me 'bout your past, thinking your future was me
And you were tossing me the car keys, ""Fuck the patriarchy""
Key chain on the ground, we were always skipping town
And I was thinking on the drive down, any time now
He's gonna say it's love, you never called it what it was
'Til we were dead and gone and buried
Check the pulse and come back swearing it's the same
After three months in the grave
And then you wondered where it went to as I reached for you
But all I felt was shame and you held my lifeless frame
[Pre-Chorus]
And I know it's long gone and
There was nothing else I could do
And I forget about you long enough
To forget why I needed to
[Chorus]
'Cause there we are again in the middle of the night
We're dancing 'round the kitchen in the refrigerator light
Down the stairs, I was there
I remember it all too well
And there we are again when nobody had to know
You kept me like a secret, but I kept you like an oath
Sacred prayer and we'd swear
To remember it all too well, yeah
[Bridge]
Well, maybe we got lost in translation
Maybe I asked for too much
But maybe this thing was a masterpiece
'Til you tore it all up
Running scared, I was there
I remember it all too well
And you call me up again just to break me like a promise
So casually cruel in the name of being honest
I'm a crumpled up piece of paper lying here
'Cause I remember it all, all, all
[Verse 4]
They say all's well that ends well, but I'm in a new Hell
Every time you double-cross my mind
You said if we had been closer in age maybe it would have been fine
And that made me want to die
The idea you had of me, who was she?
A never-needy, ever-lovely jewel whose shine reflects on you
Not weeping in a party bathroom
Some actress asking me what happened, you
That's what happened, you
You who charmed my dad with self-effacing jokes
Sipping coffee like you're on a late-night show
But then he watched me watch the front door all night, willing you to come
And he said, ""It's supposed to be fun turning twenty-one""
[Verse 5]
Time won't fly, it's like I'm paralyzed by it
I'd like to be my old self again, but I'm still trying to find it
After plaid shirt days and nights when you made me your own
Now you mail back my things and I walk home alone
But you keep my old scarf from that very first week
'Cause it reminds you of innocence and it smells like me
You can't get rid of it
'Cause you remember it all too well, yeah
[Chorus]
'Cause there we are again when I loved you so
Back before you lost the one real thing you've ever known
It was rare, I was there
I remember it all too well
Wind in my hair, you were there
You remember it all
Down the stairs, you were there
You remember it all
It was rare, I was there
I remember it all too well
[Verse 6]
And I was never good at telling jokes, but the punch line goes
""I'll get older, but your lovers stay my age""
From when your Brooklyn broke my skin and bones
I'm a soldier who's returning half her weight
And did the twin flame bruise paint you blue?
Just between us, did the love affair maim you, too?
'Cause in this city's barren cold
I still remember the first fall of snow
And how it glistened as it fell
I remember it all too well
[Outro]
Just between us, did the love affair maim you all too well?
Just between us, do you remember it all too well?
Just between us, I remember it (Just between us), all too well
Wind in my hair, I was there, I was there
Down the stairs, I was there, I was there
Sacred prayer, I was there, I was there
It was rare, you remember it all too well
Wind in my hair, I was there, I was there
Down the stairs, I was there, I was there
Sacred prayer, I was there, I was there
It was rare, you remember it
Wind in my hair, I was there, I was there
Down the stairs, I was there, I was there
Sacred prayer, I was there, I was there
It was rare, you remember it
Wind in my hair, I was there, I was there
Down the stairs, I was there, I was there
Sacred prayer, I was there, I was there
It was rare, you remember it all too well
[Spoken Outro]
I love you guys so much"
cardigan,5793984,Taylor Swift,1177,"[Verse 1]
Vintage tee, brand new phone
High heels on cobblestones
When you are young, they assume you know nothing
Sequin smile, black lipstick
Sensual politics
When you are young, they assume you know nothing
[Chorus]
But I knew you
Dancin' in your Levi's
Drunk under a streetlight, I
I knew you
Hand under my sweatshirt
Baby, kiss it better, I
[Refrain]
And when I felt like I was an old cardigan
Under someone's bed
You put me on and said I was your favorite
[Verse 2]
A friend to all is a friend to none
Chase two girls, lose the one
When you are young, they assume you know nothing
[Chorus]
But I knew you
Playing hide-and-seek and
Giving me your weekends, I
I knew you
Your heartbeat on the High Line
Once in twenty lifetimes, I
[Refrain]
And when I felt like I was an old cardigan
Under someone's bed
You put me on and said I was your favorite
[Bridge]
To kiss in cars and downtown bars
Was all we needed
You drew stars around my scars
But now I'm bleedin'
[Chorus]
'Cause I knew you
Steppin' on the last train
Marked me like a bloodstain, I
I knew you
Tried to change the ending
Peter losing Wendy, I
I knew you
Leavin' like a father
Running like water, I
And when you are young, they assume you know nothing
[Verse 3]
But I knew you'd linger like a tattoo kiss
I knew you'd haunt all of my what-ifs
The smell of smoke would hang around this long
'Cause I knew everything when I was young
I knew I'd curse you for the longest time
Chasin' shadows in the grocery line
I knew you'd miss me once the thrill expired
And you'd be standin' in my front porch light
And I knew you'd come back to me
You'd come back to me
And you'd come back to me
And you'd come back
[Refrain]
And when I felt like I was an old cardigan
Under someone's bed
You put me on and said I was your favorite"
exile,5793983,Taylor Swift,1177,"[Verse 1: Justin Vernon]
I can see you standing, honey
With his arms around your body
Laughin', but the joke's not funny at all
And it took you five whole minutes
To pack us up and leave me with it
Holdin' all this love out here in the hall
[Chorus: Justin Vernon]
I think I've seen this film before
And I didn't like the ending
You're not my homeland anymore
So what am I defending now?
You were my town, now I'm in exile, seein' you out
I think I've seen this film before
[Post-Chorus: Justin Vernon]
Ooh, ooh, ooh
[Verse 2: Taylor Swift]
I can see you starin', honey
Like he's just your understudy
Like you'd get your knuckles bloody for me
Second, third, and hundredth chances
Balancin' on breaking branches
Those eyes add insult to injury
[Chorus: Taylor Swift]
I think I've seen this film before
And I didn't like the ending
I'm not your problem anymore
So who am I offending now?
You were my crown, now I'm in exile, seein' you out
I think I've seen this film before
So I'm leaving out the side door
[Bridge: Justin Vernon,
Taylor Swift
&
Both
]
So step right out, there is no amount
Of crying I can do for you
All this time
We always walked a very thin line
You didn't even hear me out (
You didn't even hear me out
)
You never gave a warning sign (
I gave so many signs
)
All this time
I never learned to read your mind (
Never learned to read my mind
)
I couldn't turn things around (
You never turned things around
)
'Cause you never gave a warning sign (
I gave so many signs
)
So many signs, so many signs
You didn't even see the signs
[Chorus: Taylor Swift & Justin Vernon,
Taylor Swift
]
I think I've seen this film before
And I didn't like the ending
You're not my homeland anymore
So what am I defending now?
You were my town, now I'm in exile, seein' you out
I think I've seen this film before
So I'm leavin' out the side door
[Outro: Justin Vernon &
Taylor Swift
]
So step right out, there is no amount
Of crying I can do for you
All this time
We always walked a very thin line
You didn't even hear me out (
Didn't even hear me out
)
You never gave a warning sign (
I gave so many signs
)
All this time
I never learned to read your mind (
Never learned to read my mind
)
I couldn't turn things around (
You never turned things around
)
'Cause you never gave a warning sign (
I gave so many signs
)
You never gave a warning sign (All this time)
(
So many times
) I never learned to read your mind
(
So many signs
) I couldn't turn things around (I couldn't turn things around)
'Cause you never gave a warning sign (You never gave a warning sign)
You never gave a warning sign
Ah, ah"
Lover,4508914,Taylor Swift,1177,"[Verse 1]
We could leave the Christmas lights up 'til January
And this is our place, we make the rules
And there's a dazzling haze, a mysterious way about you, dear
Have I known you twenty seconds or twenty years?
[Chorus]
Can I go where you go?
Can we always be this close?
Forever and ever, ah
Take me out and take me home
You're my, my, my, my lover
[Verse 2]
We could let our friends crash in the living room
This is our place, we make the call
And I'm highly suspicious that everyone who sees you wants you
I've loved you three summers now, honey, but I want 'em all
[Chorus]
Can I go where you go?
Can we always be this close?
Forever and ever, ah
Take me out and take me home (Forever and ever)
You're my, my, my, my lover
[Bridge]
Ladies and gentlemen, will you please stand?
With every guitar string scar on my hand
I take this magnetic force of a man to be my lover
My heart's been borrowed and yours has been blue
All's well that ends well to end up with you
Swear to be overdramatic and true to my lover
And you'll save all your dirtiest jokes for me
And at every table, I'll save you a seat, lover
[Chorus]
Can I go where you go?
Can we always be this close?
Forever and ever, ah
Take me out and take me home (Forever and ever)
You're my, my, my, my
Oh, you're my, my, my, my
Darling, you're my, my, my, my lover"
the 1,5794073,Taylor Swift,1177,"[Verse 1]
I'm doing good, I'm on some new shit
Been saying ""yes"" instead of ""no""
I thought I saw you at the bus stop, I didn't though
I hit the ground running each night
I hit the Sunday matinée
You know the greatest films of all time were never made
[Pre-Chorus]
I guess you never know, never know
And if you wanted me, you really should've showed
And if you never bleed, you're never gonna grow
And it's alright now
[Chorus]
But we were something, don't you think so?
Roaring twenties, tossing pennies in the pool
And if my wishes came true
It would've been you
In my defense, I have none
For never leaving well enough alone
But it would've been fun
If you would've been the one
(Ooh)
[Verse 2]
I have this dream you're doing cool shit
Having adventures on your own
You meet some woman on the internet and take her home
We never painted by the numbers, baby
But we were making it count
You know the greatest loves of all time are over now
[Pre-Chorus]
I guess you never know, never know
And it's another day waking up alone
[Chorus]
But we were something, don't you think so?
Roaring twenties, tossing pennies in the pool
And if my wishes came true
It would've been you
In my defense, I have none
For never leaving well enough alone
But it would've been fun
If you would've been the one
[Bridge]
I, I, I persist and resist the temptation to ask you
If one thing had been different
Would everything be different today?
[Chorus]
We were something, don't you think so?
Rosé flowing with your chosen family
And it would've been sweet
If it could've been me
In my defense, I have none
For digging up the grave another time
But it would've been fun
If you would've been the one
(Ooh)"
Is It Over Now? (Taylor’s Version) [From The Vault],9538404,Taylor Swift,1177,"[Intro]
(
Is it? Is it? Is it? Is it? Is it?
)
[Verse 1]
Once the flight had flown (Uh-huh)
With the wilt of the rose (Uh-huh)
I slept all alone (Uh-huh)
You still wouldn't go
[Pre-Chorus]
Let's fast forward to three hundred takeout coffees later
I see your profile and your smile on unsuspecting waiters
You dream of my mouth before it called you a lying traitor
You search in every maiden's bed for somethin' greater, baby
[Chorus]
Was it over when she laid down on your couch?
Was it over when he unbuttoned my blouse?
""Come here,"" I whispered in your ear
In your dream as you passеd out, baby
Was it over then? And is it over now?
[Post-Chorus]
(
Is it? Is it? Is it?
)
[Verse 2]
Whеn you lost control (Uh-huh)
Red blood, white snow (Uh-huh)
Blue dress on a boat (Uh-huh)
Your new girl is my clone
[Bridge]
And did you think I didn't see you?
There were flashin' lights
At least I had the decency
To keep my nights out of sight
Only rumors 'bout my hips and thighs
And my whispered sighs
Oh, Lord, I think about jumpin'
Off of very tall somethings
Just to see you come runnin'
And say the one thing I've been wanting, but no
[Pre-Chorus]
Let's fast forward to three hundred awkward blind dates later (Oh)
If she's got blue eyes, I will surmise that you'll probably date her (Oh, no)
You dream of my mouth before it called you a lying traitor (Oh)
You search in every model's bed for somethin' greater, baby
[Chorus]
Was it over when she laid down on your couch?
Was it over when he unbuttoned my blouse?
""Come here,"" I whispered in your ear
In your dream as you passed out, baby
Was it over then? And is it over now?
[Post-Chorus]
Uh-huh
(
Is it? Is it? Is it?
)
Uh-huh
(
Is it? Is it?
)
[Bridge]
Think I didn't see you?
There were flashin' lights
At least I had the decency
To keep my nights out of sight
Only rumors 'bout my hips and thighs
And my whispered sighs
Oh, Lord, I think about jumpin'
Off of very tall somethings
Just to see you come runnin' (Runnin')
And say the one thing I've been wanting, but no
[Outro]
(Flashin' lights; Oh, Lord; Oh)
Let's fast forward to three hundred takeout coffees later (Oh)
(Flashin' lights) I was hoping you'd be there
And say the one thing (Oh, Lord)
I've been wanting (Oh, Lord)
But no
(
Was it? Was it? Was it? Was it? Was it? Was it?
)"
august,5793977,Taylor Swift,1177,"[Verse 1]
Salt air, and the rust on your door
I never needed anything more
Whispers of ""Are you sure?""
""Never have I ever before""
[Chorus]
But I can see us lost in the memory
August slipped away into a moment in time
'Cause it was never mine
And I can see us twisted in bedsheets
August sipped away like a bottle of wine
'Cause you were never mine
[Verse 2]
Your back beneath the sun
Wishin' I could write my name on it
Will you call when you're back at school?
I remember thinkin' I had you
[Chorus]
But I can see us lost in the memory
August slipped away into a moment in time
'Cause it was never mine
And I can see us twisted in bedsheets
August sipped away like a bottle of wine
'Cause you were never mine
[Bridge]
Back when we were still changin' for the better
Wanting was enough
For me, it was enough
To live for the hope of it all
Cancel plans just in case you'd call
And say, ""Meet me behind the mall""
So much for summer love and saying ""us""
'Cause you weren't mine to lose
You weren't mine to lose, no
[Chorus]
But I can see us lost in the memory
August slipped away into a moment in time
'Cause it was never mine
And I can see us twisted in bedsheets
August sipped away like a bottle of wine
'Cause you were never mine
[Outro]
'Cause you were never mine
Never mine
But do you remember?
Remember when I pulled up and said ""Get in the car""
And then canceled my plans just in case you'd call?
Back when I was livin' for the hope of it all, for the hope of it all
""Meet me behind the mall""
(Remember when I pulled up and said ""Get in the car"")
(And then canceled my plans just in case you'd call?)
(Back when I was livin' for the hope of it all, for the hope of it all)
(""Meet me behind the mall"")
Remember when I pulled up and said ""Get in the car""
And then canceled my plans just in case you'd call?
Back when I was livin' for the hope of it all (For the hope of it all)
For the hope of it all, for the hope of it all
(For the hope of it all, for the hope of it all)"
Cruel Summer,4712978,Taylor Swift,1177,"[Intro]
(
Yeah, yeah, yeah, yeah
)
[Verse 1]
Fever dream high in the quiet of the night
You know that I caught it (
Oh yeah, you're right, I want it
)
Bad, bad boy, shiny toy with a price
You know that I bought it (
Oh yeah, you're right, I want it
)
[Pre-Chorus]
Killing me slow, out the window
I'm always waiting for you to be waiting below
Devils roll the dice, angels roll their eyes
What doesn't kill me makes me want you more
[Chorus]
And it's new, the shape of your body
It's blue, the feeling I've got
And it's ooh, woah-oh
It's a cruel summer
It's cool, that's what I tell 'em
No rules in breakable heaven
But ooh, woah-oh
It's a cruel summer with you
[Verse 2]
Hang your head low in the glow of the vending machine
I'm not dying (
Oh yeah, you're right, I want it
)
We say that we'll just screw it up in these trying times
We're not trying (
Oh yeah, you're right, I want it
)
[Pre-Chorus]
So cut the headlights, summer's a knife
I'm always waiting for you just to cut to the bone
Devils roll the dice, angels roll their eyes
And if I bleed, you'll be the last to know, oh
[Chorus]
It's new, the shape of your body
It's blue, the feeling I've got
And it's ooh, woah-oh
It's a cruel summer
It's cool, that's what I tell 'em
No rules in breakable heaven
But ooh, woah-oh
It's a cruel summer with you
[Bridge]
I'm drunk in the back of the car
And I cried like a baby comin' home from the bar (Oh)
Said, ""I'm fine,"" but it wasn't true
I don't wanna keep secrets just to keep you
And I snuck in through the garden gate
Every night that summer just to seal my fate (Oh)
And I scream, ""For whatever it's worth
I love you, ain't that the worst thing you ever heard?""
He looks up, grinnin' like a devil
[Chorus]
It's new, the shape of your body
It's blue, the feeling I've got
And it's ooh, woah-oh
It's a cruel summer
It's cool, that's what I tell 'em
No rules in breakable heaven
But ooh, woah-oh
It's a cruel summer with you
[Outro]
I'm drunk in the back of the car
And I cried like a baby comin' home from the bar (Oh)
Said, ""I'm fine,"" but it wasn't true
I don't wanna keep secrets just to keep you
And I snuck in through the garden gate
Every night that summer just to seal my fate (Oh)
And I scream, ""For whatever it's worth
I love you, ain't that the worst thing you ever heard?""
(
Yeah, yeah, yeah, yeah
)"
Look What You Made Me Do,3210592,Taylor Swift,1177,"[Verse 1]
I don't like your little games
Don't like your tilted stage
The role you made me play
Of the fool, no, I don't like you
I don't like your perfect crime
How you laugh when you lie
You said the gun was mine
Isn't cool, no, I don't like you (Oh)
[Pre-Chorus]
But I got smarter, I got harder in the nick of time
Honey, I rose up from the dead, I do it all the time
I've got a list of names and yours is in red, underlined
I check it once, then I check it twice, oh
[Chorus]
Ooh, look what you made me do
Look what you made me do
Look what you just made me do
Look what you just made me
Ooh, look what you made me do
Look what you made me do
Look what you just made me do
Look what you just made me do
[Verse 2]
I (I) don't (Don't) like your kingdom keys (Keys)
They (They) once belonged to me (Me)
You (You) asked me for a place to sleep
Locked me out and threw a feast (What?)
The world moves on, another day, another drama, drama
But not for me, not for me, all I think about is karma
And then the world moves on, but one thing's for sure
Maybe I got mine, but you'll all get yours
[Pre-Chorus]
But I got smarter, I got harder in the nick of time (Nick of time)
Honey, I rose up from the dead, I do it all the time (I do it all the time)
I've got a list of names and yours is in red, underlined
I check it once, then I check it twice, oh
[Chorus]
Ooh, look what you made me do
Look what you made me do
Look what you just made me do
Look what you just made me
Ooh, look what you made me do
Look what you made me do
Look what you just made me do
Look what you just made me do
[Bridge]
I don't trust nobody and nobody trusts me
I'll be the actress starrin' in your bad dreams
I don't trust nobody and nobody trusts me
I'll be the actress starrin' in your bad dreams
I don't trust nobody and nobody trusts me
I'll be the actress starrin' in your bad dreams
I don't trust nobody and nobody trusts me
I'll be the actress starrin' in your bad dreams
[Interlude]
(Ooh, look what you made me do)
(Look what you made me do)
(Look what you just made me do)
(Look what you just made me)
""I'm sorry, the old Taylor can't come to the phone right now""
(Ooh, look what you made me do)
(Look what you made me do)
(Look what you just made me)
""Why? Oh, 'cause she's dead"" (Oh)
[Chorus]
Ooh, look what you made me do
Look what you made me do
Look what you just made me do
Look what you just made me
Ooh, look what you made me do
Look what you made me do
Look what you just made me do
Look what you just made me do
Ooh, look what you made me do
Look what you made me do
Look what you just made me do
Look what you just made me
Ooh, look what you made me do
Look what you made me do
Look what you just made me do
Look what you just made me do"
betty,5793962,Taylor Swift,1177,"[Verse 1]
Betty, I won't make assumptions
About why you switched your homeroom, but
I think it's 'cause of me
Betty, one time, I was riding on my skateboard
When I passed your house
It's like I couldn't breathe
[Pre-Chorus]
You heard the rumors from Inez
You can't believe a word she says
Most times, but this time, it was true
The worst thing that I ever did
Was what I did to you
[Chorus]
But if I just showed up at your party
Would you have me? Would you want me?
Would you tell me to go fuck myself
Or lead me to the garden?
In the garden, would you trust me
If I told you it was just a summer thing?
I'm only seventeen, I don't know anything
But I know I miss you
[Verse 2]
Betty, I know where it all went wrong
Your favorite song was playing
From the far side of the gym
I was nowhere to be found
I hate the crowds, you know that
Plus, I saw you dance with him
[Pre-Chorus]
You heard the rumors from Inez
You can't believe a word she says
Most times, but this time, it was true
The worst thing that I ever did
Was what I did to you
[Chorus]
But if I just showed up at your party
Would you have me? Would you want me?
Would you tell me to go fuck myself
Or lead me to the garden?
In the garden, would you trust me
If I told you it was just a summer thing?
I'm only seventeen, I don't know anything
But I know I miss you
[Bridge]
I was walking home on broken cobblestones
Just thinking of you when she pulled up like
A figment of my worst intentions
She said, ""James, get in, let's drive""
Those days turned into nights
Slept next to her, but
I dreamt of you all summer long
[Verse 3]
Betty, I'm here on your doorstep
And I planned it out for weeks now
But it's finally sinkin' in
Betty, right now is the last time
I can dream about what happens when
You see my face again
[Pre-Chorus]
The only thing I wanna do
Is make it up to you
So I showed up at your party
Yeah, I showed up at your party
[Chorus]
Yeah, I showed up at your party
Will you have me? Will you love me?
Will you kiss me on the porch
In front of all your stupid friends?
If you kiss me, will it be just like I dreamed it?
Will it patch your broken wings?
I'm only seventeen, I don't know anything
But I know I miss you
[Outro]
Standing in your cardigan
Kissin' in my car again
Stopped at a streetlight
You know I miss you"
champagne problems,6260160,Taylor Swift,1177,"[Verse 1]
You booked the night train for a reason
So you could sit there in this hurt
Bustling crowds or silent sleepers
You're not sure which is worse
[Chorus]
Because I dropped your hand while dancing
Left you out there standing
Crestfallen on the landing
Champagne problems
Your mom's ring in your pocket
My picture in your wallet
Your heart was glass, I dropped it
Champagne problems
[Verse 2]
You told your family for a reason
You couldn't keep it in
Your sister splashed out on the bottle
Now no one's celebrating
[Chorus]
Dom Pérignon, you brought it
No crowd of friends applauded
Your hometown skeptics called it
Champagne problems
You had a speech, you're speechless
Love slipped beyond your reaches
And I couldn't give a reason
Champagne problems
[Bridge]
Your Midas touch on the Chevy door
November flush and your flannel cure
""This dorm was once a madhouse""
I made a joke, ""Well, it's made for me""
How evergreen, our group of friends
Don't think we'll say that word again
And soon they'll have the nerve to deck the halls
That we once walked through
One for the money, two for the show
I never was ready so I watch you go
Sometimes you just don't know the answer
'Til someone's on their knees and asks you
""She would've made such a lovely bride
What a shame she's fucked in the head,"" they said
But you'll find the real thing instead
She'll patch up your tapestry that I shred
[Chorus]
And hold your hand while dancing
Never leave you standing
Crestfallen on the landing
With champagne problems
Your mom's ring in your pocket
Her picture in your wallet
You won't remember all my
Champagne problems
[Outro]
You won't remember all my
Champagne problems"
